고객번호,출원번호
419980480745,2020010018599
419980480745,2020120002726
419980480745,1020230098560
419980480745,2020060029766
419980480745,2020100009387
419980480745,2020100005587
419980480745,2020090014890
419980480745,2020070007920
419980480745,2020070003777
419980480745,2020070005432
419980480745,1020220082174
419980480745,2020060031324
419980480745,2020040021124
419980480745,2020040002027
419980480745,1020160064195
419980480745,2020030018288
419980480745,2020020027665
419980480745,2020020027636
419980480745,2020020028791
419980480745,2020010012282
419980480745,1020110042031
120190068885,1020190015341
120190068885,1020190015345
120190068885,1020190015343
220050257350,1020240024035
220050257350,1020210060935
220050257350,1020170040272
220050257350,1020220114770
220050257350,1020150123020
220050257350,1020240147096
220050257350,1020240013070
220050257350,1020220123905
220050257350,1020240177208
220050257350,1020240178983
220050257350,1020220109773
220050257350,1020160181100
220050257350,1020190180068
220050257350,1020210000464
220050257350,1020160028132
220050257350,1020190011436
220050257350,1020240015328
220050257350,1020220152796
220050257350,1020160140309
220050257350,1020210180488
220050257350,1020160152595
220050257350,1020160143753
220050257350,1020170013914
220050257350,1020200049644
220050257350,1020170114432
220050257350,1020180023996
220050257350,1020180023896
220050257350,1020180023964
220050257350,1020170074378
220050257350,1020190177112
120220411101,1020230077810
120220411101,1020210081647
120210067380,1020170142148
120210067380,1020110085113
120210067380,1020240127779
120210067380,1020090124143
120210067380,1020140045446
120210067380,1020240127778
120210067380,1020120066813
120210067380,1020120029076
420230100615,1020230098560
120100286864,1020120019600
120100286864,1020200079746
120100286864,1020180129713
120100286864,1020240116307
120100286864,1020190121952
120100286864,1020100054708
120100286864,1020190113476
120100286864,1020190079120
120100286864,1020190113474
120100286864,1020180041899
120130410553,1020150050036
120130410553,1020150092655
120130410553,1020130082417
120130410553,1020130082416
120130410553,1020160041009
120130410553,2020090011540
120110290793,1020130015681
120110290793,1020130015673
120110290793,1020160141695
420230841541,검색결과없음
419980479571,1020140147768
419980479571,1020140147769
419980479571,2020060018074
419980479571,2019960034124
419980479571,1019940030948
420230319885,1020230060999
120130501387,1020230083854
120130501387,2020130008010
120130501387,1020120034053
120130501387,1020130059887
120170593251,1020180060070
120170593251,1020170138295
120170593251,1020180022776
120170593251,1020180147084
120170593251,1020180026077
120170593251,1020180147085
120170593251,1020230083072
120170593251,1020230032148
120230405655,검색결과없음
420030416944,1020170014218
420030416944,1020150163777
420220365767,검색결과없음
120220027033,1020230058042
120220027033,1020220004978
420230266858,검색결과없음
120030247870,1020120112207
120030247870,1020120065526
120030247870,1020090030875
120030247870,1020180073721
120030247870,1020100133645
120030247870,1020100111149
120030247870,1020110114519
120030247870,1020180166063
120030247870,1020170050979
120030247870,1020190136231
120030247870,1020170111341
120030247870,1020160045732
120030247870,1020160070879
120030247870,1020140145042
120030247870,1020090084792
120030247870,1020080059682
120030247870,1020090059604
120030247870,1020110071567
120030247870,1020220071811
120030247870,1020180165841
120030247870,1020180093031
120030247870,1020140149121
120030247870,1020130119745
120030247870,1020120123665
120030247870,1020190175876
120030247870,1020180101116
120030247870,1020167011930
120030247870,1020160124950
120030247870,1020080047840
120030247870,1020220174239
120070304600,1020120058260
120070304600,1020140129270
120070304600,1020110138877
120070304600,1020150056397
120070304600,1020130093492
120070304600,1020110120820
120070304600,1020080003327
120070304600,2020090005069
120070304600,1020050061868
120070304600,1020030016478
220050257350,1020240024035
220050257350,1020210060935
220050257350,1020170040272
220050257350,1020220114770
220050257350,1020150123020
220050257350,1020240147096
220050257350,1020240013070
220050257350,1020220123905
220050257350,1020240177208
220050257350,1020240178983
220050257350,1020220109773
220050257350,1020160181100
220050257350,1020190180068
220050257350,1020210000464
220050257350,1020160028132
220050257350,1020190011436
220050257350,1020240015328
220050257350,1020220152796
220050257350,1020160140309
220050257350,1020210180488
220050257350,1020160152595
220050257350,1020160143753
220050257350,1020170013914
220050257350,1020200049644
220050257350,1020170114432
220050257350,1020180023996
220050257350,1020180023896
220050257350,1020180023964
220050257350,1020170074378
220050257350,1020190177112
120130560561,1020160181904
120130560561,1020200043843
120130560561,1020150165757
120130560561,1020150165744
120130560561,1020200043847
120130560561,1020150131869
120130560561,1020200043845
120130560561,1020150131872
120130560561,1020200043848
120150206470,1020150053939
120190024531,검색결과없음
120220703471,1020220137976
120210667123,1020097016261
120210667123,1020220115359
420220841190,1020220166148
420200725431,2020210003069
420200725431,1020220166148
420200725431,1020200133163
120070149495,1020210020027
120070149495,2020210003297
420220788503,검색결과없음
220040246082,1020160082442
220040246082,1020180102189
220040246082,1020160003779
220040246082,1020180045770
220040246082,1020180065739
220040246082,1020200131787
220040246082,1020200035591
220040246082,1020200127122
220040246082,1020200056373
220040246082,1020190131748
220040246082,1020170072725
220040246082,1020160150580
220040246082,1020210006780
220040246082,1020230166915
220040246082,1020220162288
220040246082,1020180007657
220040246082,1020150132025
220040246082,1020140034827
220040246082,1020130070002
220040246082,1020130018072
220040246082,1020160079333
220040246082,1020090057723
220040246082,1020220065934
220040246082,1020210046644
220040246082,1020060064846
220040246082,1020110143093
220040246082,1020230094771
220040246082,1020150030595
220040246082,1020200172943
220040246082,1020140012192
220030443699,1020240086689
220030443699,1020190122450
220030443699,1020180106660
220030443699,1020230014047
220030443699,1020230158435
220030443699,1020230156285
220030443699,1020210060106
220030443699,1020190146639
220030443699,1020200141386
220030443699,1020200069877
220030443699,1020190176497
220030443699,1020190177541
220030443699,1020240021582
220030443699,1020200137695
220030443699,1020140029787
220030443699,1020180086995
220030443699,1020130052366
220030443699,1020160167875
220030443699,1020160168388
220030443699,1020200184692
220030443699,1020140029788
220030443699,1020180119782
220030443699,1020180080412
220030443699,1020210132303
220030443699,1020170006252
220030443699,1020180094163
220030443699,1020170095823
220030443699,1020140062374
220030443699,1020150036953
220030443699,1020230061560
120210894204,1020230120753
120210894204,1020210044455
120210894204,1020200065840
120210894204,1020220100255
120210894204,1020190033450
420190604003,1020190134248
420220438136,검색결과없음
420160239028,2020170000961
420160239028,1020220053922
420180339282,1020220053922
420010143766,1020210088194
120180384896,1020180025584
120180384896,1020210088194
120180384896,1020180086955
420220178135,검색결과없음
420180400081,1020200101547
420180400081,1020190115948
420180400081,1020180083909
420180400081,1020200001867
420180400081,1020180065946
420180400081,1020190134248
420180400081,1020210152972
420180400081,1020210089854
420020160270,1020210184471
420020160270,1020250027447
420020160270,1020110145981
420020160270,1020110145983
420020160270,1020200001867
420020160270,1020190134248
420020160270,1020210110416
420020160270,1020210089854
420020160270,1020190115960
420020160270,1020080092478
420020160270,1020130100641
520220065682,1020220017920
120190085609,1020220016729
120190085609,1020220016728
420220049021,검색결과없음
120130560561,1020160181904
120130560561,1020200043843
120130560561,1020150165757
120130560561,1020150165744
120130560561,1020200043847
120130560561,1020150131869
120130560561,1020200043845
120130560561,1020150131872
120130560561,1020200043848
120211013690,검색결과없음
